,zh,zhcn,ja,en
GodName,畫中仙,画中仙,畫中仙,畫中仙
,,,,
Accuracy,正確率,正确率,正確率,正確率
PassTime,過關時間,过关时间,過關時間,過關時間
Difficulty,困難度,困难度,困難度,困難度
LV0,初級,初级,初級,【Rookie】
LV1,中級,中级,中級,【Normal】
LV2,高級,高级,高級,【Hard】
LV3,專家,专家,專家,【Expert】
EndTime,答題時間,答题时间,答題時間,答題時間
YourStage,您選擇挑戰的關卡是,您选择挑战的关卡是,您選擇挑戰的關卡是,您選擇挑戰的關卡是
,,,,
Lan_GameStart,遊戲開始。,游戏开始。,遊戲開始。,遊戲開始。
Lan_Exam,小測驗,小测验,小測驗,小測驗
Lan_Shelf,多寶格,多宝格,多寶格,多寶格
Lan_Settings,設定,设定,設定,設定
Lan_Loading,典藏文物讀取中,典藏文物读取中,典藏文物讀取中,典藏文物讀取中
Lan_Right,很好！相當正確！,很好！相当正确！,很好！相當正確！,很好！相當正確！
Lan_Wrong,不是這裡，再試一次。,不是这裡，再试一次。,不是這裡，再試一次。,不是這裡，再試一次。
Lan_Readme,不是這裡。左上方的卷軸裡藏有提示喔！,不是这裡。左上方的卷轴裡藏有提示喔！,不是這裡。左上方的卷軸裡藏有提示喔！,不是這裡。左上方的卷軸裡藏有提示喔！
Lan_BeforeLose,不是這裡。請小心把握最後1次機會。,不是这裡。请細心把握最后1次机会。,不是這裡。請細心把握最後1次機會。,不是這裡。請小心把握最後1次機會。
Lan_Lose,不是這裡。老夫的法力已用盡，請下次再來挑戰！,不是这裡。老夫的法力已用尽，请下次再来挑战！,不是這裡。老夫的法力已用盡，請下次再來挑戰！,不是這裡。老夫的法力已用盡，請下次再來挑戰！
Lan_Answer,正確答案,正确答案,正確答案,正確答案
Lan_ExamFinished,測驗完成,测验完成,測驗完成,測驗完成
Lan_ArtExam,藝術常識測驗,艺术常识测验,藝術常識測驗,藝術常識測驗
Lan_EXP,經驗值,经验值,經驗值,經驗值
Lan_KP,知識點,知识点,知識點,知識點
Lan_Check,結算,结算,結算,結算
Lan_MsgLeave,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？
Lan_ExamStart,測驗開始,测验开始,測驗開始,測驗開始
Lan_Cancel,取消,取消,取消,取消
Lan_Confirm,確定,确定,確定,確定
,,,,
ShareMsgA0,我在,我在,我在,I've passed the task of Painting God in 
ShareMsgA1,秒內通過了《畫中仙》的,秒内通过了《画中仙》的,秒內通過了《畫中仙》的,sec
ShareMsgA2,試煉，藝術涵養與氣質明顯提升了！,试炼，艺术涵养与气质明显提升了！,試煉，藝術涵養與氣質明顯提升了！,", my sense of art has been improved!"
,,,,
ShareMsgB0,我以,我以,我以,I've passed the exam of Painting God with
ShareMsgB1,的正確率通過了《畫中仙》的藝術教育測驗，美感與鑑賞能力明顯提升了！,的正确率通过了《画中仙》的艺术教育测验，美感与鑑赏能力明显提升了！,的正確率通過了《畫中仙》的藝術教育測驗，美感與鑑賞能力明顯提升了！,"accuracy, My ability to appreciate art has been leveled up!"
,,,,
Sec,秒,秒,秒,Sec
ShareDescriptionKP,分享獲得知識點+5,分享获得知识点+5,分享獲得知識點+5,分享獲得知識點+5
ShareDescriptionEXP,分享獲得經驗值+100,分享获得经验值+100,分享獲得經驗值+100,分享獲得經驗值+100
QuizCompleteRate,題庫完成,题库完成,題庫完成,題庫完成
QuizRightNum,答對題數,答对题数,答對題數,答對題數
HintMessage00,【請仔細記憶畫作內容，再開始遊戲】,【请仔细记忆画作内容，再开始游戏】,【請仔細記憶畫作內容，再開始遊戲】,【請仔細記憶畫作內容，再開始遊戲】
GoToArtbook,點擊此處前往畫冊,点击此处前往画册,點擊此處前往畫冊,點擊此處前往畫冊
,,,,
//繪畫標題與描述,,,,
PicTitle0,聚瑞圖,聚瑞图,聚瑞圖,聚瑞圖
PicDescription0,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。
PicTitle1,畫瓶花,画瓶花,畫瓶花,畫瓶花
PicDescription1,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。
PicTitle2,畫青羊,画青羊,畫青羊,畫青羊
PicDescription2,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。
PicTitle3,八駿圖,八骏图,八駿圖,八駿圖
PicDescription3,八駿圖以宮廷中的御馬為對象，以一棵巨大的柳樹為構圖中心，用西方的繪畫方法畫出栩栩如生的人物、駿馬與古木，從帝王到民間，為中國畫注入了新的血液。,八骏图以宫廷中的御马为对象，以一棵巨大的柳树为构图中心，用西方的绘画方法画出栩栩如生的人物、骏马与古木，从帝王到民间，为中国画注入了新的血液。,八駿圖以宮廷中的御馬為對象，以一棵巨大的柳樹為構圖中心，用西方的繪畫方法畫出栩栩如生的人物、駿馬與古木，從帝王到民間，為中國畫注入了新的血液。,八駿圖以宮廷中的御馬為對象，以一棵巨大的柳樹為構圖中心，用西方的繪畫方法畫出栩栩如生的人物、駿馬與古木，從帝王到民間，為中國畫注入了新的血液。
PicTitle4,開泰圖,开泰图,開泰圖,開泰圖
PicDescription4,本幅寫生綿羊三隻，表示「三羊開泰」之意，把母羊溫柔慈愛、小羊稚嫩天真的表情動作，描寫得極為傳神動人，背後襯景的老梅、翠竹，用筆自由，參酌中西。,本幅写生绵羊三只，表示「三羊开泰」之意，把母羊温柔慈爱、小羊稚嫩天真的表情动作，描写得极为传神动人，背后衬景的老梅、翠竹，用笔自由，参酌中西。,本幅寫生綿羊三隻，表示「三羊開泰」之意，把母羊溫柔慈愛、小羊稚嫩天真的表情動作，描寫得極為傳神動人，背後襯景的老梅、翠竹，用筆自由，參酌中西。,本幅寫生綿羊三隻，表示「三羊開泰」之意，把母羊溫柔慈愛、小羊稚嫩天真的表情動作，描寫得極為傳神動人，背後襯景的老梅、翠竹，用筆自由，參酌中西。
PicTitle5,畫白海青,画白海青,畫白海青,畫白海青
PicDescription5,白海青為獵鷹之名種。此畫鷙鳥立於古松橫幹之上，振翅欲起之貌，動靜之間，極具張力。,白海青为猎鹰之名种。此画鸷鸟立于古松横干之上，振翅欲起之貌，动静之间，极具张力。,白海青為獵鷹之名種。此畫鷙鳥立於古松橫幹之上，振翅欲起之貌，動靜之間，極具張力。,白海青為獵鷹之名種。此畫鷙鳥立於古松橫幹之上，振翅欲起之貌，動靜之間，極具張力。
,,,,
//生平介紹,,,,
BiographyTitle,郎世寧生平,郎世宁生平,郎世寧生平,郎世寧生平
BiographyPage0,郎世寧，原名朱塞佩·伽斯底里奧內(Giuseppe Castiglione)，1688年7月19日生於米蘭，1707年，加入耶穌會，開始他的見習修士生涯。1714年，郎世寧受到耶穌會傳道部的派遣，前往中國傳教，康熙五十四年（1715年）到中國時，郎世寧被康熙帝以藝術家的身份召進宮中，他成為宮廷畫家後，每天都在畫室作畫。此外，他繼續學習漢文和滿文。,郎世宁，原名朱塞佩·伽斯底里奥内(Giuseppe Castiglione)，1688年7月19日生于米兰，1707年，加入耶稣会，开始他的见习修士生涯。 1714年，郎世宁受到耶稣会传道部的派遣，前往中国传教，康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。,郎世寧，原名朱塞佩·伽斯底里奧內(Giuseppe Castiglione)，1688年7月19日生於米蘭，1707年，加入耶穌會，開始他的見習修士生涯。1714年，郎世寧受到耶穌會傳道部的派遣，前往中國傳教，康熙五十四年（1715年）到中國時，郎世寧被康熙帝以藝術家的身份召進宮中，他成為宮廷畫家後，每天都在畫室作畫。此外，他繼續學習漢文和滿文。,郎世寧，原名朱塞佩·伽斯底里奧內(Giuseppe Castiglione)，1688年7月19日生於米蘭，1707年，加入耶穌會，開始他的見習修士生涯。1714年，郎世寧受到耶穌會傳道部的派遣，前往中國傳教，康熙五十四年（1715年）到中國時，郎世寧被康熙帝以藝術家的身份召進宮中，他成為宮廷畫家後，每天都在畫室作畫。此外，他繼續學習漢文和滿文。
BiographyPage1,康熙六十一年（1722年），康熙帝駕崩。雍正帝繼位後，施行禁教政策，下令驅逐在中國境內的傳教士，不過只有在宮廷服務的傳教士例外，因此他不僅沒有受到驅逐，反而受到更高的禮遇。在他停留中國長達51年期間，歷經了康熙、雍正、乾隆三位皇帝。他不僅為後世留下大量珍貴的畫作，而且對中西文化交流有一定程度的貢獻。,康熙六十一年（1722年），康熙帝驾崩。雍正帝继位后，施行禁教政策，下令驱逐在中国境内的传教士，不过只有在宫廷服务的传教士例外，因此他不仅没有受到驱逐，反而受到更高的礼遇。在他停留中国长达51年期间，历经了康熙、雍正、乾隆三位皇帝。他不仅为后世留下大量珍贵的画作，而且对中西文化交流有一定程度的贡献。,康熙六十一年（1722年），康熙帝駕崩。雍正帝繼位後，施行禁教政策，下令驅逐在中國境內的傳教士，不過只有在宮廷服務的傳教士例外，因此他不僅沒有受到驅逐，反而受到更高的禮遇。在他停留中國長達51年期間，歷經了康熙、雍正、乾隆三位皇帝。他不僅為後世留下大量珍貴的畫作，而且對中西文化交流有一定程度的貢獻。,康熙六十一年（1722年），康熙帝駕崩。雍正帝繼位後，施行禁教政策，下令驅逐在中國境內的傳教士，不過只有在宮廷服務的傳教士例外，因此他不僅沒有受到驅逐，反而受到更高的禮遇。在他停留中國長達51年期間，歷經了康熙、雍正、乾隆三位皇帝。他不僅為後世留下大量珍貴的畫作，而且對中西文化交流有一定程度的貢獻。
BiographyPage2,郎世寧不僅是一位出色的畫家，同時也是一位優秀的建築和工藝設計師，參與了擴建圓明園的規劃設計。他曾試圖要求康熙帝開辦學習用西方透視原理來繪畫的繪畫學校，但不被採用，之後幫助了年希堯出版《視學》，在中國公開介紹西洋透視學的原理與方法。郎世寧的宮廷畫作品融合中西繪畫藝術，不但表現出西方繪畫中的寫實、立體、注重線條和結構等特點，也表現出中國傳統繪畫的傳神與韻味。,郎世宁不仅是一位出色的画家，同时也是一位优秀的建筑和工艺设计师，参与了扩建圆明园的规划设计。他曾试图要求康熙帝开办学习用西方透视原理来绘画的绘画学校，但不被采用，之后帮助了年希尧出版《视学》，在中国公开介绍西洋透视学的原理与方法。郎世宁的宫廷画作品融合中西绘画艺术，不但表现出西方绘画中的写实、立体、注重线条和结构等特点，也表现出中国传统绘画的传神与韵味。,郎世寧不僅是一位出色的畫家，同時也是一位優秀的建築和工藝設計師，參與了擴建圓明園的規劃設計。他曾試圖要求康熙帝開辦學習用西方透視原理來繪畫的繪畫學校，但不被採用，之後幫助了年希堯出版《視學》，在中國公開介紹西洋透視學的原理與方法。郎世寧的宮廷畫作品融合中西繪畫藝術，不但表現出西方繪畫中的寫實、立體、注重線條和結構等特點，也表現出中國傳統繪畫的傳神與韻味。,郎世寧不僅是一位出色的畫家，同時也是一位優秀的建築和工藝設計師，參與了擴建圓明園的規劃設計。他曾試圖要求康熙帝開辦學習用西方透視原理來繪畫的繪畫學校，但不被採用，之後幫助了年希堯出版《視學》，在中國公開介紹西洋透視學的原理與方法。郎世寧的宮廷畫作品融合中西繪畫藝術，不但表現出西方繪畫中的寫實、立體、注重線條和結構等特點，也表現出中國傳統繪畫的傳神與韻味。
BiographyPage3,郎世寧在數十年的探索中，致力於融合中西方繪畫技法於一體，創作出獨特的畫風；他引進西方文藝復興時期開創的明暗法，並使用交點透視，讓透視視覺與中國畫結合，並用膠狀顏料在宣紙上作畫，也就是今日的膠彩畫作法。,郎世宁在数十年的探索中，致力于融合中西方绘画技法于一体，创作出独特的画风；他引进西方文艺复兴时期开创的明暗法，并使用交点透视，让​​透视视觉与中国画结合，并用胶状颜料在宣纸上作画，也就是今日的胶彩画作法。,郎世寧在數十年的探索中，致力於融合中西方繪畫技法於一體，創作出獨特的畫風；他引進西方文藝復興時期開創的明暗法，並使用交點透視，讓透視視覺與中國畫結合，並用膠狀顏料在宣紙上作畫，也就是今日的膠彩畫作法。,郎世寧在數十年的探索中，致力於融合中西方繪畫技法於一體，創作出獨特的畫風；他引進西方文藝復興時期開創的明暗法，並使用交點透視，讓透視視覺與中國畫結合，並用膠狀顏料在宣紙上作畫，也就是今日的膠彩畫作法。
BiographyPage4,郎世寧受到乾隆皇帝的榮寵，以乾隆二十二年，郎世寧70歲時乾隆皇帝替他舉辦的生日宴會最具代表。乾隆三十一年，這位從事繪畫工作和推動中西藝術文化交流長達五十一年的義大利傳教士病逝北京，在中國結束他的傳奇一生。,郎世宁受到乾隆皇帝的荣宠，乾隆二十二年，郎世宁70岁时乾隆皇帝替他举办的生日宴会最具代表。乾隆三十一年，这位从事绘画工作和推动中西艺术文化交流长达五十一年的义大利传教士病逝北京，在中国结束他的传奇一生。,郎世寧受到乾隆皇帝的榮寵，乾隆二十二年，郎世寧70歲時乾隆皇帝替他舉辦的生日宴會最具代表。乾隆三十一年，這位從事繪畫工作和推動中西藝術文化交流長達五十一年的義大利傳教士病逝北京，在中國結束他的傳奇一生。,郎世寧受到乾隆皇帝的榮寵，乾隆二十二年，郎世寧70歲時乾隆皇帝替他舉辦的生日宴會最具代表。乾隆三十一年，這位從事繪畫工作和推動中西藝術文化交流長達五十一年的義大利傳教士病逝北京，在中國結束他的傳奇一生。
,,,,
//遊戲規則,,,,
MsgPw0Difficulty0,瞧俺一個不留神，有別的作品混入這幅畫了，請把不屬於這幅畫的物件拿掉，還原它原本的樣貌吧！,瞧俺一个不留神，有别的作品混入这幅画了，请把不属于这幅画的物件拿掉，还原它原本的样貌吧！,瞧俺一個不留神，有別的作品混入這幅畫了，請把不屬於這幅畫的物件拿掉，還原它原本的樣貌吧！,瞧俺一個不留神，有別的作品混入這幅畫了，請把不屬於這幅畫的物件拿掉，還原它原本的樣貌吧！
MsgPw0Difficulty1,老夫適才運用法力，將頑皮的馬兒們捉回寶盒裡了，可以拜託你領牠們回原位嗎？,老夫适才运用法力，将顽皮的马儿们捉回宝盒里了，可以拜托你领它们回原位吗？,老夫適才運用法力，將頑皮的馬兒們捉回寶盒裡了，可以拜託你領牠們回原位嗎？,老夫適才運用法力，將頑皮的馬兒們捉回寶盒裡了，可以拜託你領牠們回原位嗎？
MsgPw0Difficulty2,剛把馬兒捉回寶盒，又有來自別處的物件混入這幅畫了，這下可真傷腦筋......。,刚把马儿捉回宝盒，又有来自别处的物件混入这幅画了，这下可真伤脑筋......。,剛把馬兒捉回寶盒，又有來自別處的物件混入這幅畫了，這下可真傷腦筋......。,剛把馬兒捉回寶盒，又有來自別處的物件混入這幅畫了，這下可真傷腦筋......。
MsgPw0Difficulty3,幸好你來了！現在整幅畫一片混亂，連原本乖順的馬兒都開始四處蹓躂，老夫已經手足無措了......,幸好你来了！现在整幅画一片混乱，连原本乖顺的马儿都开始四处蹓跶，老夫已经手足无措了......,幸好你來了！現在整幅畫一片混亂，連原本乖順的馬兒都開始四處蹓躂，老夫已經手足無措了......,幸好你來了！現在整幅畫一片混亂，連原本乖順的馬兒都開始四處蹓躂，老夫已經手足無措了......
,,,,
MsgPw1Difficulty0,瞧俺一個不留神，有贗作的物件混入這幅畫了，請把不屬於這幅畫的東西拿掉，還原它原本的樣貌吧！,瞧俺一个不留神，有赝作的物件混入这幅画了，请把不属于这幅画的东西拿掉，还原它原本的样貌吧！,瞧俺一個不留神，有贗作的物件混入這幅畫了，請把不屬於這幅畫的東西拿掉，還原它原本的樣貌吧！,瞧俺一個不留神，有贗作的物件混入這幅畫了，請把不屬於這幅畫的東西拿掉，還原它原本的樣貌吧！
MsgPw1Difficulty1,老夫適才施展神通，已將移失的物件收回寶盒裡，可以拜託你把它們搬回原位嗎？,老夫适才施展神通，已将移失的物件收回宝盒里，可以拜托你把它们搬回原位吗？,老夫適才施展神通，已將移失的物件收回寶盒裡，可以拜託你把它們搬回原位嗎？,老夫適才施展神通，已將移失的物件收回寶盒裡，可以拜託你把它們搬回原位嗎？
MsgPw1Difficulty2,剛把幾隻羊兒收回寶盒，又有來自別處的物件混入這幅畫，這一來，老夫可真記不得了......。,刚把几只羊儿收回宝盒，又有来自别处的物件混入这幅画，这一来，老夫可真记不得了......。,剛把幾隻羊兒收回寶盒，又有來自別處的物件混入這幅畫，這一來，老夫可真記不得了......。,剛把幾隻羊兒收回寶盒，又有來自別處的物件混入這幅畫，這一來，老夫可真記不得了......。
MsgPw1Difficulty3,不知是哪陣狂風把這畫作掃得一團亂.....若能協助清理歸位，老夫必當答謝！,不知是哪阵狂风把这画作扫得一团乱.....若能协助清理归位，老夫必当答谢！,不知是哪陣狂風把這畫作掃得一團亂.....若能協助清理歸位，老夫必當答謝！,不知是哪陣狂風把這畫作掃得一團亂.....若能協助清理歸位，老夫必當答謝！
,,,,
ResultDifficulty0,你順利完成了這次的試煉。如你這般有為的人才，十年難得一見！,你顺利完成了这次的试炼。如你这般有为的人才，十年难得一见！,你順利完成了這次的試煉。如你這般有為的人才，十年難得一見！,你順利完成了這次的試煉。如你這般有為的人才，十年難得一見！
ResultDifficulty1,你順利通過了這次的挑戰。如你這般優秀的逸才，百年難得一見！,你顺利通过了这次的挑战。如你这般优秀的逸才，百年难得一见！,你順利通過了這次的挑戰。如你這般優秀的逸才，百年難得一見！,你順利通過了這次的挑戰。如你這般優秀的逸才，百年難得一見！
ResultDifficulty2,你順利解決了這次的難題。如你這般穎異的天才，千年難得一見！,你顺利解决了这次的难题。如你这般颖异的天才，千年难得一见！,你順利解決了這次的難題。如你這般穎異的天才，千年難得一見！,你順利解決了這次的難題。如你這般穎異的天才，千年難得一見！
ResultDifficulty3,你漂亮收拾了這次的殘局。老夫也該讓賢了，你才是真正的畫中仙！,你漂亮收拾了这次的残局。老夫也该让贤了，你才是真正的画中仙！,你漂亮收拾了這次的殘局。老夫也該讓賢了，你才是真正的畫中仙！,你漂亮收拾了這次的殘局。老夫也該讓賢了，你才是真正的畫中仙！
,,,,
ResultQuizCorrect0,年輕人別氣餒！多寶格裡有許多名畫和藏書，請詳加閱覽，開卷有益！,年轻人别气馁！多宝格里有许多名画和藏书，请详加阅览，开卷有益！,年輕人別氣餒！多寶格裡有許多名畫和藏書，請詳加閱覽，開卷有益！,年輕人別氣餒！多寶格裡有許多名畫和藏書，請詳加閱覽，開卷有益！
ResultQuizCorrect1,知之為知之，不知為不知，是知也！最難得的是勤能補拙，再接再勵！,知之为知之，不知为不知，是知也！最难得的是勤能补拙，再接再励！,知之為知之，不知為不知，是知也！最難得的是勤能補拙，再接再勵！,知之為知之，不知為不知，是知也！最難得的是勤能補拙，再接再勵！
ResultQuizCorrect2,書到用時方恨少，事非經過不知難；書山有路勤為徑，學海無涯苦作舟！,书到用时方恨少，事非经过不知难，书山有路勤为径，学海无涯苦作舟！,書到用時方恨少，事非經過不知難；書山有路勤為徑，學海無涯苦作舟！,書到用時方恨少，事非經過不知難；書山有路勤為徑，學海無涯苦作舟！
ResultQuizCorrect3,士別三日，刮目相看！閣下已漸能掌握藝術之竅理，假以時日，成就將不可限量！,士別三日，刮目相看！閣下已漸能掌握藝術之竅理，假以時日，成就將不可限量！,士別三日，刮目相看！閣下已漸能掌握藝術之竅理，假以時日，成就將不可限量！,士別三日，刮目相看！閣下已漸能掌握藝術之竅理，假以時日，成就將不可限量！
ResultQuizCorrect4,學而時習之，不亦悅乎？溫故而知新，可以為師矣！,学而时习之，不亦悦乎？温故而知新，可以为师矣！,學而時習之，不亦悅乎？溫故而知新，可以為師矣！,學而時習之，不亦悅乎？溫故而知新，可以為師矣！
ResultQuizCorrect5,欲窮千里目，更上一層樓！吾見其進也，未見其止也！,欲穷千里目，更上一层楼！吾见其进也，未见其止也！,欲窮千里目，更上一層樓！吾見其進也，未見其止也！,欲窮千里目，更上一層樓！吾見其進也，未見其止也！
,,,,
ResultLose,請仔細記憶畫作內容，再接再厲再挑戰！,请仔细记忆画作内容，再接再厉再挑战！,請仔細記憶畫作內容，再接再厲再挑戰！,請仔細記憶畫作內容，再接再厲再挑戰！